FID,Province,Municipali,CAT_B,WardNo,District,DistrictCo,Date,WardID,WardLabel,Shape__Area,Shape__Length
95,Western Cape,City of Cape Town Metropolitan Municipality,CPT,41,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100041,CPT_41,2169142.00048828,8976.24724181466
96,Western Cape,City of Cape Town Metropolitan Municipality,CPT,42,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100042,CPT_42,4553280.00097656,10161.7407006672
97,Western Cape,City of Cape Town Metropolitan Municipality,CPT,43,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100043,CPT_43,67372102.1376953,37410.2818698541
98,Western Cape,City of Cape Town Metropolitan Municipality,CPT,44,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100044,CPT_44,5756019.16015625,11629.4662450549
99,Western Cape,City of Cape Town Metropolitan Municipality,CPT,45,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100045,CPT_45,9169160.00537109,12860.916152082
100,Western Cape,City of Cape Town Metropolitan Municipality,CPT,46,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100046,CPT_46,8985586.24707031,15251.6759785759
101,Western Cape,City of Cape Town Metropolitan Municipality,CPT,47,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100047,CPT_47,4257828.14550781,9901.68493254701
102,Western Cape,City of Cape Town Metropolitan Municipality,CPT,48,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100048,CPT_48,7697731.85205078,15336.3971635279
103,Western Cape,City of Cape Town Metropolitan Municipality,CPT,49,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100049,CPT_49,7304145.96142578,14101.9031645754
104,Western Cape,City of Cape Town Metropolitan Municipality,CPT,50,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100050,CPT_50,3805608.00244141,8174.136202318
105,Western Cape,City of Cape Town Metropolitan Municipality,CPT,51,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100051,CPT_51,3637144.60986328,8819.14389737673
106,Western Cape,City of Cape Town Metropolitan Municipality,CPT,52,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100052,CPT_52,1639029.22460938,6651.07239644128
107,Western Cape,City of Cape Town Metropolitan Municipality,CPT,53,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100053,CPT_53,21568857.5244141,21922.7182240759
108,Western Cape,City of Cape Town Metropolitan Municipality,CPT,54,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100054,CPT_54,53452572.2573242,72121.6105923951
109,Western Cape,City of Cape Town Metropolitan Municipality,CPT,55,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100055,CPT_55,20880967.5898438,24017.7989582092
110,Western Cape,City of Cape Town Metropolitan Municipality,CPT,56,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100056,CPT_56,17262005.7998047,20634.5672901677
111,Western Cape,City of Cape Town Metropolitan Municipality,CPT,57,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100057,CPT_57,15512014.0253906,21043.1624805902
112,Western Cape,City of Cape Town Metropolitan Municipality,CPT,58,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100058,CPT_58,14496505.7441406,19098.0596831225
113,Western Cape,City of Cape Town Metropolitan Municipality,CPT,59,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100059,CPT_59,14816966.9916992,24172.3267568547
114,Western Cape,City of Cape Town Metropolitan Municipality,CPT,60,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100060,CPT_60,9802719.18066406,23162.6576641583
115,Western Cape,City of Cape Town Metropolitan Municipality,CPT,61,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100061,CPT_61,243710387.804688,116404.31666729
116,Western Cape,City of Cape Town Metropolitan Municipality,CPT,62,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100062,CPT_62,52202237.3554688,41425.6560780879
117,Western Cape,City of Cape Town Metropolitan Municipality,CPT,63,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100063,CPT_63,12050055.0805664,16912.4898944084
118,Western Cape,City of Cape Town Metropolitan Municipality,CPT,64,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100064,CPT_64,27761662.1953125,42850.1365966666
119,Western Cape,City of Cape Town Metropolitan Municipality,CPT,65,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100065,CPT_65,6250590.79443359,12818.2368759855
120,Western Cape,City of Cape Town Metropolitan Municipality,CPT,66,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100066,CPT_66,11744283.5361328,14129.0001960373
121,Western Cape,City of Cape Town Metropolitan Municipality,CPT,67,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100067,CPT_67,29834880.4624023,27447.832075868
122,Western Cape,City of Cape Town Metropolitan Municipality,CPT,68,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100068,CPT_68,4935582.19091797,9432.53731287527
123,Western Cape,City of Cape Town Metropolitan Municipality,CPT,69,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100069,CPT_69,59411907.9736328,46434.1999552467
124,Western Cape,City of Cape Town Metropolitan Municipality,CPT,70,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100070,CPT_70,41423959.4521484,27244.9650976355
125,Western Cape,City of Cape Town Metropolitan Municipality,CPT,71,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100071,CPT_71,81807483.7924805,51033.4127847491
126,Western Cape,City of Cape Town Metropolitan Municipality,CPT,72,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100072,CPT_72,9431791.56542969,14788.3247447652
127,Western Cape,City of Cape Town Metropolitan Municipality,CPT,73,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100073,CPT_73,12605312.4238281,16516.3810179822
128,Western Cape,City of Cape Town Metropolitan Municipality,CPT,74,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100074,CPT_74,47140384.4008789,42572.8348402028
129,Western Cape,City of Cape Town Metropolitan Municipality,CPT,75,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100075,CPT_75,7440198.28515625,12529.0930426448
130,Western Cape,City of Cape Town Metropolitan Municipality,CPT,76,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100076,CPT_76,8303714.83447266,12803.4768368995
131,Western Cape,City of Cape Town Metropolitan Municipality,CPT,77,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100077,CPT_77,28183875.2915039,32906.0719497159
132,Western Cape,City of Cape Town Metropolitan Municipality,CPT,78,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100078,CPT_78,3512388.33105469,8746.27727485308
133,Western Cape,City of Cape Town Metropolitan Municipality,CPT,79,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100079,CPT_79,5445942.65625,13877.5142705425
134,Western Cape,City of Cape Town Metropolitan Municipality,CPT,80,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100080,CPT_80,2677954.22705078,7845.34398070895
135,Western Cape,City of Cape Town Metropolitan Municipality,CPT,81,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100081,CPT_81,6050213.73828125,10890.4357306191
136,Western Cape,City of Cape Town Metropolitan Municipality,CPT,82,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100082,CPT_82,5144521.25439453,10106.9453838195
137,Western Cape,City of Cape Town Metropolitan Municipality,CPT,83,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100083,CPT_83,26883921.9038086,27026.3025244807
138,Western Cape,City of Cape Town Metropolitan Municipality,CPT,84,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100084,CPT_84,200806756.074219,90381.2285317328
139,Western Cape,City of Cape Town Metropolitan Municipality,CPT,85,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100085,CPT_85,8232499.83154297,16948.1245274606
140,Western Cape,City of Cape Town Metropolitan Municipality,CPT,86,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100086,CPT_86,2557928.69873047,7847.42688735325
141,Western Cape,City of Cape Town Metropolitan Municipality,CPT,87,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100087,CPT_87,1520732.70996094,5526.29485906127
142,Western Cape,City of Cape Town Metropolitan Municipality,CPT,88,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100088,CPT_88,3849992.33837891,9726.64728579339
143,Western Cape,City of Cape Town Metropolitan Municipality,CPT,89,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100089,CPT_89,1523425.78125,7339.8610299474
144,Western Cape,City of Cape Town Metropolitan Municipality,CPT,90,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100090,CPT_90,8698039.21875,13574.4629705534
145,Western Cape,City of Cape Town Metropolitan Municipality,CPT,91,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100091,CPT_91,1583334.203125,6233.47742777767
146,Western Cape,City of Cape Town Metropolitan Municipality,CPT,92,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100092,CPT_92,6455333.61230469,15106.3059168931
147,Western Cape,City of Cape Town Metropolitan Municipality,CPT,93,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100093,CPT_93,5965807.29589844,13682.7547999905
148,Western Cape,City of Cape Town Metropolitan Municipality,CPT,94,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100094,CPT_94,4475039.53808594,8756.26214039878
149,Western Cape,City of Cape Town Metropolitan Municipality,CPT,95,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100095,CPT_95,11776562.7158203,19036.7983296082
150,Western Cape,City of Cape Town Metropolitan Municipality,CPT,96,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100096,CPT_96,6110687.65917969,11257.3327049188
151,Western Cape,City of Cape Town Metropolitan Municipality,CPT,97,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100097,CPT_97,5009305.82763672,11082.2517234276
152,Western Cape,City of Cape Town Metropolitan Municipality,CPT,98,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100098,CPT_98,4811608.70849609,10186.4550088824
153,Western Cape,City of Cape Town Metropolitan Municipality,CPT,99,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100099,CPT_99,9647720.63427734,20881.4843357269
154,Western Cape,City of Cape Town Metropolitan Municipality,CPT,100,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100100,CPT_100,164797771.464844,84543.2702488904
155,Western Cape,City of Cape Town Metropolitan Municipality,CPT,101,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100101,CPT_101,6854690.07470703,14937.1918927094
156,Western Cape,City of Cape Town Metropolitan Municipality,CPT,102,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100102,CPT_102,50969077.7856445,39866.6799725188
157,Western Cape,City of Cape Town Metropolitan Municipality,CPT,103,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100103,CPT_103,17407173.4946289,22569.9670845581
158,Western Cape,City of Cape Town Metropolitan Municipality,CPT,104,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100104,CPT_104,7225919.31689453,13366.1682251453
159,Western Cape,City of Cape Town Metropolitan Municipality,CPT,105,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100105,CPT_105,642488316.04541,143658.056664972
160,Western Cape,City of Cape Town Metropolitan Municipality,CPT,106,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100106,CPT_106,3828679.51123047,10636.8783236332
161,Western Cape,City of Cape Town Metropolitan Municipality,CPT,107,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100107,CPT_107,12431645.3222656,19492.7819913241
162,Western Cape,City of Cape Town Metropolitan Municipality,CPT,108,City of Cape Town,CPT,11/24/2020 12:00:00 AM,19100108,CPT_108,9294169.95410156,16428.2174260331
